TITLE,URL
Roomies,https://gemibook.com//2435437-roomies
Love and Other Words,https://gemibook.com//2435436-love-and-other-words
Josh and Hazel's Guide to Not Dating,https://gemibook.com//2435435-josh-and-hazels-guide-to-not-dating
My Favorite Half-Night Stand,https://gemibook.com//2435434-my-favorite-half-night-stand
The Unhoneymooners,https://gemibook.com//2435433-the-unhoneymooners
Twice in a Blue Moon,https://gemibook.com//2435432-twice-in-a-blue-moon
The Honey-Don't List,https://gemibook.com//2435431-the-honey-dont-list
In a Holidaze,https://gemibook.com//2435430-in-a-holidaze
The Soulmate Equation,https://gemibook.com//2435429-the-soulmate-equation
Artemis,https://gemibook.com//2435428-artemis
The Martian,https://gemibook.com//2435427-the-martian
Project Hail Mary,https://gemibook.com//2435426-project-hail-mary
Beach Read,https://gemibook.com//2435425-beach-read
People We Meet on Vacation,https://gemibook.com//2435424-people-we-meet-on-vacation
The Insiders (The Insiders Trilogy #1),https://gemibook.com//2435423-the-insiders
Nate,https://gemibook.com//2435422-nate
The Not-Outcast,https://gemibook.com//2435421-the-not-outcast
Rich Prick,https://gemibook.com//2435420-rich-prick
Enemies,https://gemibook.com//2435419-enemies
Teardrop Shot,https://gemibook.com//2435418-teardrop-shot
Bennett Mafia (Bennett Mafia #1),https://gemibook.com//2435417-bennett-mafia
Forever in Cape May (The Sunshine Sisters #3),https://gemibook.com//2435416-forever-in-cape-may
Temptation on Ocean Drive (The Sunshine Sisters #2),https://gemibook.com//2435415-temptation-on-ocean-drive
Love on Beach Avenue (The Sunshine Sisters #1),https://gemibook.com//2435414-love-on-beach-avenue
The Sweetest Fix,https://gemibook.com//2435413-the-sweetest-fix
Tools of Engagement (Hot & Hammered #3),https://gemibook.com//2435412-tools-of-engagement
Love Her or Lose Her (Hot & Hammered #2),https://gemibook.com//2435411-love-her-or-lose-her
Fix Her Up (Hot & Hammered #1),https://gemibook.com//2435410-fix-her-up
A Deal with the Elf King (Married to Magic #1),https://gemibook.com//2435409-a-deal-with-the-elf-king
Crystal Crowned (Air Awakens #5),https://gemibook.com//2435408-crystal-crowned
